street,number,zip,city,lat,lng
Sweelinckplein,50,5491LH,Sint-Oedenrode,51.57129405533888,5.448035582190071
Parallelweg,48,6961JX,Eerbeek,52.10653325660749,6.061145526440909
Evertsenstraat,16,3262PA,Oud-Beijerland,51.8262039540929,4.406826200245286
Podzolhamel,24,9403XC,Assen,53.02081518098712,6.59755793941788
Dopheide,9,4614PX,Bergen op Zoom,51.5081368036053,4.314317974888511
Geerhoek,18,2988HA,Ridderkerk,51.85485339961996,4.590672011088582
de Kei,358,8918BN,Leeuwarden,53.21733550093374,5.800333648398137
Weserlaan,23,5691MH,Son en Breugel,51.52804648620587,5.483581465357044
Wierickewijk,38,3831MC,Leusden,52.13096498913969,5.437140153067637
Noordeinde,109,2514GE,'s-Gravenhage,52.08296643164204,4.305193403545331
Wethouder van Heldenstraat,17,3181VK,Rozenburg,51.90508504694191,4.245004263993441
Zuster Irmbertastraat,6,5988KD,Helden,51.32049372953258,5.990695899608854
Thijssestraat,63,1504LC,Zaandam,52.44118010018017,4.848694930102812
Büttgenbachstraat,59,6462JB,Kerkrade,50.85018790664323,6.070058796161751
Kastanjehof,143,5664RX,Geldrop,51.41696246960169,5.563813247151703
Zuiderzeeweg,14E5,1095KG,Amsterdam,52.36976088972574,4.964123676804004
Potgieterstraat,1BS,3532VN,Utrecht,52.09368899151779,5.101173559588624
Binnendijk,11WEC4,,Nieuw- en Sint Joosland,51.48074340462224,3.693391611903877
Reespoor,31,3766JW,Soest,52.165335053027015,5.2756640612386985
Zutphenseweg,30,7382AM,Klarenbeek,52.188576348706285,6.081883907307131
Frank van Borselenstraat,65,2613NK,Delft,52.00313514993071,4.350713121141581
Holtgesbroek,1005,6546PA,Nijmegen,51.829586355511246,5.77399370586977
Burgemeester Smeijersweg,10,6039HB,Stramproy,51.192356792699584,5.72792032701753
Laan van het Kinholt,463,7823GL,Emmen,52.788257143850046,6.9430906753187385
Schiestraat,22,3812KJ,Amersfoort,52.16153868482581,5.3628022268237245
