street,number,zip,city,lat,lng
Gerard Doustraat,5503,3781EJ,Voorthuizen,52.18870456219732,5.603129323160785
Korenmolen,13,1733PH,Nieuwe Niedorp,52.743928872381865,4.898318368446488
Tsjaikovskistraat,112,2901HN,Capelle aan den IJssel,51.91806933931615,4.559274629737009
Fresiaflat,19,4921LA,Made,51.67734700585996,4.787193653613683
Prof. Krausstraat,192,2628JW,Delft,52.00307051560935,4.380403291589624
Goudsesingel,280C,3011KH,Rotterdam,51.924119953247015,4.489630883675161
Barnsteenstraat,41,2403BW,Alphen aan den Rijn,52.14044259223419,4.681036586359225
Palsstraat,63,6566WX,Millingen aan de Rijn,51.85864382693235,6.05964690789058
Schoutenlaan,41,4854AV,Bavel,51.564941740855446,4.824766171850945
Leidseweg,487,2253JH,Voorschoten,52.14457384610229,4.464295501884099
Avondroodvlinder,5,7534LK,Enschede,52.21277540840355,6.959681269804324
Meerkoetlaan,60,7905ET,Hoogeveen,52.71937886508869,6.512355694331335
Kafmolen,28,7591SK,Denekamp,52.377509009258574,7.019542601903106
Amersfoortweg,62,1324PH,Almere,52.36465527058483,5.207046065323837
Vierambachtsstraat,86B,3023AS,Rotterdam,51.91635522585762,4.449114277075304
Parkpad,15,3214HW,Zuidland,51.83269865989877,4.249768855732778
Mr. W.M. Oppedijk van Veenweg,16D18,9251GA,Burgum,53.18808122304023,5.995723658234824
Looierstraat,16,5612BR,Eindhoven,51.45133052373204,5.476167669776946
't Glop,3,1621ES,Hoorn,52.64019592768054,5.058695039554545
Braillestraat,75,2652XV,Berkel en Rodenrijs,51.98060613669657,4.452245350847584
Albert Schweitzersingel,394,3822BZ,Amersfoort,52.18295416225947,5.408468434469377
Coevorderkanaal,11A,7742PA,Coevorden,52.63417729547438,6.71570958630437
Kievit,15,9685CD,Blauwestad,53.1722433327673,7.042217493059861
Dorsvloerweg,103,2661MM,Bergschenhoek,51.98409852074111,4.508189624742892
Zeskant,131,6412DV,Heerlen,50.90103513707216,5.962353002624128
Paulus Buijsstraat,11,2613HL,Delft,52.00625978398618,4.34752632745086
Rietven,7,5464PH,Veghel,51.63084166087299,5.5568255531407305
Dr. Coppesstraat,83,7523EK,Enschede,52.23658890846285,6.887218479339948
Pijlstaart,13,3225CD,Hellevoetsluis,51.830316102446574,4.156309546645959
Dokter Hiemstralaan,64,4205KN,Gorinchem,51.84333128062558,4.959210268052252
Achterdijk,4,3295BA,'s-Gravendeel,51.779166127663785,4.620639670422854
Wiekenkruis,19,4661TR,Halsteren,51.53682856160535,4.291094561792471
Lorrainelaan,30,5627DD,Eindhoven,51.48396092068617,5.439818455670364
Dr van Hengelstraat,4,7071WS,Ulft,51.88872964550716,6.381173596146042
Prins Willemstraat,1,4791JN,Klundert,51.6630035588712,4.528544940147089
Hora Siccamasingel,25,9721HA,Groningen,53.20034011019264,6.569691958474291
Marsweg,10,7314KD,Apeldoorn,52.21708991826717,5.942092778270176
Merellaan,23,5741JW,Beek en Donk,51.53178406345752,5.63223198964013
Buitenhofdreef,88,2625XS,Delft,51.99473124790509,4.343610566778333
van Beekstraat,300,1121NW,Landsmeer,52.42516391650899,4.948623653181548
Schinnenbaan,534,3077JJ,Rotterdam,51.894252073090016,4.568222857792856
Waterwolf,10,2131HR,Hoofddorp,52.31416633778116,4.682256680460878
Nachtegaalstraat,86,9422KP,Smilde,52.95066569725241,6.452909821456117
Korenbloemstraat,15g,5741VV,Beek en Donk,51.529235021188335,5.630445690772682
Steurkreek,28,3206GN,Spijkenisse,51.825187290191536,4.3323734856686125
Schiedamseweg,119,3134BE,Vlaardingen,51.90983448643124,4.355276565713261
Hoogstraat,22A,5256AW,Heusden,51.735064509759205,5.139335318691903
Spekklef,13,5841CM,Oploo,51.59464874814347,5.8496402737419455
Kerkstraat,3,9627PJ,Hellum,53.23778013972466,6.837928367386876
Parallelweg,12,8271PB,IJsselmuiden,52.57661730092978,5.945397307942864
Franekervaart,19,8602AA,Sneek,53.03701418092181,5.653095467498054
Tweede Bloksweg,62,2742KK,Waddinxveen,52.02435892420676,4.625478089021212
Brinkhof,4,9431JL,Westerbork,52.84714416416488,6.615905439630456
Aalhorst,188,2402PH,Alphen aan den Rijn,52.152585589767895,4.668950602525368
Kennemerstrand,473,1976GA,IJmuiden,52.45165665459044,4.56030678221593
De Karsseboom,14,1531PP,Wormer,52.49341262112199,4.807020555644305
Jodenstraat,32,6211ER,Maastricht,50.849984700455096,5.692788747611082
Thorbeckelaan,2,8014AZ,Zwolle,52.48903347756112,6.108652825069136
De Kastanje,15,9781VC,Bedum,53.29680612242135,6.611638116140141
Goudreinetstraat,4,1461JN,Zuidoostbeemster,52.51990910673734,4.942863038305778
Blauwververstraat,18,7772WC,Hardenberg,52.57807182782116,6.6205173296328645
Jasmijnstraat,1,6163GM,Geleen,50.98152205179564,5.813808066402223
Laarderweg,80,3755AR,Eemnes,52.25406831903588,5.252746260403963
Koeriersterweg,11,9727AA,Groningen,53.209832734778,6.555347075828809
Marquisen,23,3825ZC,Amersfoort,52.18886390286317,5.420481846027514
Gatsedijk,72,3299LC,Maasdam,51.77669968079997,4.547910428697919
Vorrinklaan,10,3317KZ,Dordrecht,51.79119759033805,4.66917445175835
Tak van Poortvlietstraat,21B,3317JR,Dordrecht,51.7962289925736,4.667053482621926
Oud-Bussummerweg,27,1401SM,Bussum,52.27723691524385,5.167097793415804
Lucas van Leydenhage,23,3437NR,Nieuwegein,52.0516350521916,5.070331572196094
Vondelstraat,11TR,,Aalten,51.92092547526452,6.58223184985596
Zeedijk,24103,4504PN,Nieuwvliet,51.38259632997305,3.4386492466986014
Bermdijk,21,3079TM,Rotterdam,51.87535908197181,4.543504171891371
Oostburgweg,39,7533BC,Enschede,52.22445866535291,6.919452833828572
Kruisstraat,12A,6301PC,Valkenburg,50.83808277029837,5.833794625127834
Nellie van Kolstraat,31,2331GG,Leiden,52.153240692486165,4.452510248321227
Cambridgelaan,1199,3584DW,Utrecht,52.08259333855624,5.1739285737174585
Gerard van Eckerenstraat,11,2025NH,Haarlem,52.416105938912224,4.6448474432372056
Augustusbloemweg,35,1508BB,Zaandam,52.45830010969704,4.8270645567992
Dassenkuillaan,58,6162JG,Geleen,50.97938085125293,5.83338130652822
Cloete,11,5688PB,Oirschot,51.509762939696486,5.315266634206399
Woudseweg,186a,,Schipluiden,51.99236418649142,4.283733097528338
Rhijnvis Feithlaan,16,8021AK,Zwolle,52.51470734662162,6.105521518285565
Kerkweg,19,6866CP,Heelsum,51.97871946667373,5.755377052362626
Platanenlaan,21,3862GA,Nijkerk,52.21621912912891,5.491141825381949
Gildenweg,18,4204GH,Gorinchem,51.83634135802617,4.955634846614001
Columbusstraat,4,1827PS,Alkmaar,52.67463164560256,4.763116672860769
Karel Doormanstraat,106,6374VJ,Landgraaf,50.91076460027904,6.050943594662552
Dijklaan,19,2861EK,Bergambacht,51.92897964056669,4.7853342044722735
Kuilenstraat,75,6231AV,Meerssen,50.87545854043731,5.738589075114498
Reigersblauw,30,2718KN,Zoetermeer,52.03602752057879,4.492008498502443
Windhalmstraat,36,3882GH,Putten,52.25684769061807,5.594641915595737
Dorpsstraat,144,2731AT,Benthuizen,52.07804917483706,4.545954790761853
Molenweg,2,6071VZ,Swalmen,51.23779703813233,6.045479985349266
Baronielaan,15,8302MZ,Emmeloord,52.71850959433762,5.728891442002018
Loon,5,5757AA,Liessel,51.41885874727972,5.818326888783783
Helsdingenstraat,26,6823GZ,Arnhem,52.00242903402277,5.945455778776576
De Hofstee,17,1852GS,Heiloo,52.59688737786424,4.694178915065502
Smientstraat,26,4451DZ,Heinkenszand,51.468031432088,3.813948428904919
Uilenvliet,15,3333BS,Zwijndrecht,51.807645276250746,4.63163147040931
